district,location,latitude,longitude
Stann Creek,Dangriga,16.960212,-88.221011
Stann Creek,Hopkins,16.853291,-88.282704
Corozal,Sarteneja,18.354729,-88.143997
Corozal,Chunox,18.296055,-88.356583
Corozal,Copperbank,18.321723,-88.355649
Corozal,Consejo,18.45624,-88.299446
Corozal,Corozal town,18.39845,-88.391891
Belize,Ambergris Caye,18.03238,-87.927706
Belize,Caye Caulker,17.762539,-88.028169
Stann Creek,Riversdale,16.6893396,-88.3109199
Stann Creek,Seine Bight,16.578164,-88.365891
Stann Creek,Placencia,16.517496,-88.368595
Stann Creek,Independence,16.533983,-88.422971
Toledo,Monkey River,16.36586901,-88.48653231
Stann Creek,Pomona,16.99474018,-88.36977494
Belize,Turneffe Atoll Marine Reserve,17.38009301,-87.86441948
Stann Creek,Steadfast,16.99931398,-88.42481609
Stann Creek,Alta Visa,16.98760271,-88.40233217
Belize,Hattieville,17.45003658,-88.39630669
Belize,Crooked Tree Village,17.77790694,-88.54246624
Cayo,Macal River,16.91933972,-88.85070521
Belize,Belize City,17.50639658,-88.21412846
Stann Creek,Sittee River,16.81927163,-88.26975075
Orange Walk,San Felipe,17.87322273,-88.77369413
Orange Walk,Blue Creek,17.88342459,-88.86668185
Cayo,Los Tambos,17.32323395,-89.01164868
Cayo,Buena Vista,17.25145131,-88.94133206
Cayo,Spanish Lookout,17.27945593,-89.01794631
Cayo,Valley of Peace,17.32859754,-88.8414576
Belize,San Pedro,17.90994577,-87.97360864
Toledo,Golden Stream,16.36056649,-88.80064286
Toledo,Medina Bank,16.43900774,-88.74467419
Toledo,Bladen,16.48240586,-88.60080555
Toledo,San Pedro Columbia,16.26939994,-88.95477167
Toledo,Indian Creek,16.31173251,-88.83553898
Toledo,Big Falls,16.26152455,-88.88558704
Cayo,St. Margaret Village,17.09213814,-88.61159072
Cayo,Arenal,17.02274388,-89.1501363
Cayo,San Jose Succotz,17.08385839,-89.12834739
Toledo,Silver Creek,16.27950495,-88.89108895
Cayo,Benque Viejo del Carmen,17.07124407,-89.1353588
Toledo,San Miguel,16.29335273,-88.9333747
Toledo,Aguacate,16.16185645,-89.0915777
Toledo,Trio,16.51646739,-88.63758804
Toledo,Bella Vista,16.50859665,-88.53142193
Toledo,San Jose,16.26615121,-89.09456631
Toledo,Sunday Wood,16.04051354,-89.0288338
Toledo,Santa Teresa,16.13546288,-89.05422313
Toledo,Crique Sarco,15.9844197,-89.10560593
Belize,Bermudian Landing,17.55602617,-88.53392583
Toledo,Graham Creek,15.93112482,-89.12730373
Belize,Mahogany Heights,17.33854654,-88.56731212
Belize,La Democracia,17.34025679,-88.56627188
Belize,Scotland Halfmoon,17.57066633,-88.50680242
Belize,Double Head Cabbage,17.54888362,-88.55888903
Belize,Willows Bank,17.53046143,-88.57301183
Belize,Rancho Dolores,17.53766581,-88.62817696
Cayo,Cotton Tree,17.27677793,-88.71240022
Cayo,Franks Eddy,17.25551884,-88.63429304
Belize,Isabella Bank,17.57919206,-88.53853713
Belize,Lucky Strike,17.77507829,-88.3155455
Belize,Flowers Bank,17.60050089,-88.48779119
Toledo,Punta Gorda,16.09940944,-88.81210393
Orange Walk,Orange Walk Town,18.0881492,-88.567056
Corozal,Little Belize,18.20760344,-88.40333472
Corozal,Neuland,18.05950232,-88.24310121
Orange Walk,Santa Martha,17.96878729,-88.38566035
Orange Walk,Carmelita,18.0111204,-88.5417581
Cayo,San Antonio,17.07963556,-89.02341837
Cayo,El Progreso Seven Miles,17.10251396,-88.95458402
Cayo,Criso Rey,17.12951227,-89.05534743
Cayo,Harmonyville,17.27548366,-88.67294027
Cayo,La Gracia,17.3537891,-88.93312449
Orange Walk,August Pine Ridge,17.97440565,-88.7287511
Orange Walk,San Carlos,17.71825876,-88.65421092
Belize,St. Paul's bank,17.51544,-88.58686
Belize,Gracie Rock,17.36664423,-88.43336632
Toledo,Conejo,16.0334514,-88.98345468
Toledo,Cattle Landing,16.12011812,-88.78677697
Toledo,Punta River,16.36586901,-88.48653231
Toledo,Punta Negra,16.27409974,-88.54745072
Belize,Belize River,,
Belize,Sibun River,,
Stann Creek,Hummingbird,,
Cayo,Selena,17.28848,-88.98953
Cayo,Yalbac,17.37805,-88.94468
Orange Walk,Sylvester,,
Orange Walk,Indian Church,17.75287923,-88.65828351
Corozal,Fireburn,17.86774,-88.62771
Cayo,Mopan River,17.02635191,-89.15145884
